SCRUB_DC_NO,YEAR,WEEK,SCRUB_CATEGORY_NO
3,2021,37,1
3,2021,37,2
3,2021,37,3
3,2021,37,4
3,2021,37,5
3,2021,37,6
3,2021,37,7
3,2021,37,8
3,2021,37,9
3,2021,37,10
3,2021,37,11
3,2021,37,12
3,2021,37,13
3,2021,37,14
3,2021,37,15
3,2021,37,16
3,2021,37,17
3,2021,37,18
3,2021,37,19
3,2021,37,20
3,2021,37,21
3,2021,37,22
3,2021,37,23
3,2021,37,24
3,2021,37,25
3,2021,37,26
3,2021,37,27
3,2021,37,28
3,2021,37,29
3,2021,37,30
3,2021,37,31
3,2021,37,32
3,2021,37,33
3,2021,37,34
3,2021,37,35
3,2021,37,36
3,2021,37,37
3,2021,37,38
3,2021,37,39
3,2021,37,40
3,2021,37,41
3,2021,37,42
3,2021,37,43
3,2021,37,44
3,2021,37,45
3,2021,37,46
3,2021,37,47
3,2021,37,48
3,2021,37,49
3,2021,37,50
3,2021,37,51
3,2021,37,52
3,2021,37,53
3,2021,37,54
3,2021,37,55
3,2021,37,56
3,2021,37,57
3,2021,37,58
3,2021,37,59
3,2021,37,60
3,2021,37,61
3,2021,37,62
3,2021,37,63
3,2021,37,64
3,2021,37,65
3,2021,37,66
3,2021,37,67
3,2021,37,68
3,2021,37,69
3,2021,37,70
3,2021,37,71
3,2021,37,72
3,2021,37,73
3,2021,37,74
3,2021,37,75
3,2021,37,76
3,2021,37,77
3,2021,37,79
3,2021,37,80
3,2021,37,81
3,2021,37,82
3,2021,37,83
3,2021,37,84
3,2021,37,85
3,2021,37,86
3,2021,37,87
3,2021,37,88
3,2021,37,89
3,2021,37,90
3,2021,37,91
3,2021,37,92
3,2021,37,93
3,2021,37,94
3,2021,37,95
3,2021,37,96
3,2021,37,97
3,2021,37,98
3,2021,37,99
3,2021,37,100
3,2021,37,101
3,2021,37,102
3,2021,37,103
3,2021,37,104
3,2021,37,105
3,2021,37,106
3,2021,37,107
3,2021,37,108
3,2021,37,109
3,2021,37,110
3,2021,37,111
3,2021,37,112
3,2021,37,113
3,2021,37,114
3,2021,37,115
3,2021,37,116
3,2021,37,117
3,2021,37,118
3,2021,37,119
3,2021,37,120
3,2021,37,121
3,2021,37,122
3,2021,37,123
3,2021,37,124
3,2021,37,125
3,2021,37,126
3,2021,37,127
3,2021,37,128
3,2021,37,129
3,2021,37,130
3,2021,37,131
3,2021,37,132
3,2021,37,133
3,2021,37,134
3,2021,37,135
3,2021,37,136
3,2021,37,137
3,2021,37,138
3,2021,37,139
3,2021,37,140
3,2021,37,141
3,2021,37,142
3,2021,37,143
3,2021,37,144
3,2021,37,145
3,2021,37,146
3,2021,37,147
3,2021,37,148
3,2021,37,149
3,2021,37,150
3,2021,37,151
3,2021,37,152
3,2021,37,153
3,2021,37,154
3,2021,37,155
3,2021,37,156
3,2021,37,157
3,2021,37,158
3,2021,37,159
3,2021,37,160
3,2021,37,161
3,2021,37,162
3,2021,37,163
3,2021,37,164
3,2021,37,165
3,2021,37,166
3,2021,37,167
3,2021,37,168
3,2021,37,169
3,2021,37,170
3,2021,37,171
3,2021,37,172
3,2021,37,173
3,2021,37,174
3,2021,37,175
3,2021,37,176
3,2021,37,177
3,2021,37,178
3,2021,37,179
3,2021,37,180
3,2021,37,181
3,2021,37,182
3,2021,37,183
3,2021,37,184
3,2021,37,185
3,2021,37,186
3,2021,37,187
3,2021,37,188
3,2021,37,189
3,2021,37,190
3,2021,37,191
3,2021,37,192
3,2021,37,193
3,2021,37,194
3,2021,37,195
3,2021,37,196
3,2021,37,197
3,2021,37,198
3,2021,37,199
3,2021,37,200
3,2021,37,201
3,2021,37,202
3,2021,37,203
3,2021,37,204
3,2021,37,205
3,2021,37,206
3,2021,37,207
3,2021,37,208
3,2021,37,209
3,2021,37,210
3,2021,37,211
3,2021,37,212
3,2021,37,213
3,2021,37,214
3,2021,37,215
3,2021,37,216
3,2021,37,217
3,2021,37,218
3,2021,37,219
3,2021,37,220
